Frame #,Point 1,Point 2,Point 3
0,1.5696252654694223,0.06928753833513003,0.8194564019022763
1,1.5558609650586104,0.0857796580727036,0.8208203115656572
2,1.6664645905108066,0.08515016130498938,0.8758073759078981
3,0.6286991732829327,0.09827337200577196,0.3634862726443523
4,0.20867412096745258,0.09349823906614974,0.15108618001680119
5,0.015023293946240399,0.0928548307676573,0.05393906235694886
6,-0.010037169456481934,0.13341621734000542,0.06168952394176175
7,-0.13733347254830439,0.1946037668795199,0.028635147165607767
8,-0.1683956021875949,0.2564138574213595,0.04400912761688233
9,-0.07052450528015963,0.2670886387051763,0.09828206671250833
10,0.18008360662975825,0.22449037216805126,0.20228698939890477
11,0.28327006758870305,0.1917461065988283,0.2375080870937657
12,0.3010779862790494,0.13438422802332287,0.21773110715118618
13,0.28065122191970415,0.045025828657923525,0.16283852528881385
14,0.25057449237720386,0.023817699986535153,0.13719609618186954
15,0.0140518053802284,0.024295329209920526,0.01917356729507446
16,-0.05347708360568897,-0.00040111580410519184,-0.026939099704897083
17,-0.059217908640165594,-0.004357787016275767,-0.03178784782822068
18,-0.020449950243975664,-0.006781871254379686,-0.013615910749177677
19,0.030050065775175355,-0.01188508446152146,0.009082490656826949
20,0.04635669843570607,-0.02775582249100144,0.009300437972352311
21,0.05284179036681717,-0.03645284781584869,0.00819447127548424
22,0.059093864157393185,-0.04322544471637624,0.007934209720508473
23,0.0418366102270178,-0.03711712341050844,0.002359743408254674
24,0.013045537987270872,-0.030839545146839044,-0.008897003579784086
25,0.015248197027154874,-0.020847588165386306,-0.0027996955691157177
26,0.01672629717234019,-0.012319819798340669,0.002203238686999759
27,0.018159184842496307,-0.005984276823095373,0.006087454009700466
28,0.019800745474325646,-0.008059413497512404,0.005870665988406619
29,0.015353692802223,-0.020004781259072794,-0.0023255442284248976
30,0.008076802910985175,-0.02572357970315057,-0.0088233883960827
31,0.011369198528495997,-0.03454696809923327,-0.011588884785368635
32,0.009114371248193691,-0.05560438852052431,-0.023245008636165312
33,0.014607107317125478,-0.07393862679197982,-0.02966575973742717
34,0.01900662892573589,-0.07219852615047147,-0.026595948612367786
35,0.020127666447613695,-0.07212201273119129,-0.025997173141788794
36,0.013330724368224274,-0.06882961711368046,-0.027749446372728095
