Frame #,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
64,191.65605068206787,538.651739358902,169.69595432281494,546.8706607818604
65,191.69923782348633,538.642566204071,169.71013069152832,546.8720769882202
66,191.77391052246094,538.5439467430115,169.7701120376587,546.8631935119629
67,191.94554328918457,538.535031080246,169.84012126922607,546.8619704246521
68,192.33062267303467,538.5275316238403,169.86544132232666,546.8300414085388
69,192.490496635437,538.5280787944794,169.8892307281494,546.8147850036621
70,192.70384311676025,538.5359001159668,169.89173412322998,546.6727137565613
71,193.0759620666504,538.5333251953125,169.93533611297607,546.4953017234802
72,193.4696102142334,538.5365116596222,169.97471809387207,546.364688873291
73,193.59898567199707,538.5429811477661,169.98697757720947,546.3122892379761
74,193.60151767730713,538.6197459697723,169.9804973602295,546.2792658805847
75,193.54127883911133,538.7107694149017,169.97614860534668,546.2640738487244
76,193.34863185882568,538.7531268596649,169.94502067565918,546.2557053565979
77,193.32472801208496,538.7773954868317,169.91313457489014,546.2119317054749
78,193.24788093566895,538.7779426574707,169.87109184265137,546.1682224273682
79,193.20678234100342,538.7739837169647,169.8332118988037,546.126766204834
80,193.13006401062012,538.7501978874207,169.81118202209473,546.1239337921143
81,192.8965187072754,538.7317550182343,169.79197025299072,546.1327528953552
82,192.21163272857666,538.7316906452179,169.7792387008667,546.1483955383301
83,191.78194999694824,538.7309503555298,169.77437496185303,546.1846375465393
84,191.27863883972168,538.7323665618896,169.75752353668213,546.2436032295227
85,190.7766580581665,538.7750780582428,169.7486972808838,546.3636589050293
86,190.211820602417,538.7719237804413,169.74719524383545,546.467170715332
87,189.95751857757568,538.7704432010651,169.74586486816406,546.5646958351135
88,189.89802360534668,538.6944508552551,169.74027156829834,546.5941143035889
89,189.99916076660156,538.630496263504,169.71179008483887,546.6279745101929
90,189.95229721069336,538.6093175411224,169.67907428741455,546.684365272522
91,189.9303674697876,538.5371553897858,169.65631484985352,546.696081161499
92,189.9466037750244,538.4895515441895,169.6190071105957,546.709406375885
93,189.9544858932495,538.4895515441895,169.5444631576538,546.7113375663757
94,189.96595859527588,538.4841442108154,169.46738719940186,546.7123675346375
95,189.97568607330322,538.4840154647827,169.38456058502197,546.7134618759155
96,189.98292446136475,538.4831464290619,169.31257724761963,546.7009735107422
97,189.983811378479,538.4825348854065,169.22863483428955,546.699686050415
98,189.9834394454956,538.4823095798492,169.14775371551514,546.6972398757935
99,189.98685836791992,538.4821808338165,169.10440921783447,546.696789264679
100,189.95896339416504,538.4722995758057,169.05688762664795,546.696982383728
101,189.96076583862305,538.4706902503967,169.0136432647705,546.6932487487793
102,189.96344089508057,538.4782862663269,168.96939754486084,546.6931843757629
103,189.9569034576416,538.4849810600281,168.91011714935303,546.7068958282471
104,189.95129585266113,538.4868156909943,168.8684606552124,546.7096638679504
105,190.05098819732666,538.4857857227325,168.82375717163086,546.7163586616516
106,190.1720952987671,538.4756469726562,168.80487442016602,546.7175817489624
107,190.1949119567871,538.406252861023,168.78355979919434,546.7755818367004
108,190.13444423675537,538.0925953388214,168.71858596801758,546.806480884552
109,189.8985242843628,537.9728293418884,168.67225170135498,546.7760968208313
110,189.78997707366943,537.7412152290344,168.62581729888916,546.5897369384766
111,189.62355136871338,537.1510756015778,168.60830783843994,546.2918186187744
112,189.43914413452148,536.6932225227356,168.60455989837646,545.5671072006226
113,189.1184663772583,535.005362033844,168.59995365142822,544.3636536598206
114,189.12816524505615,533.3125126361847,168.54097366333008,542.6199817657471
115,189.48858261108398,531.9039988517761,168.58182907104492,540.905020236969
116,189.731183052063,531.2949335575104,168.59373092651367,538.4596502780914
117,189.71185684204102,530.4300498962402,168.43680381774902,535.741274356842
118,189.23263549804688,529.7901499271393,168.43299865722656,533.8590717315674
119,189.45188999176025,528.0038952827454,168.4629249572754,531.4459204673767
120,190.5635404586792,525.669504404068,168.4026288986206,527.9844868183136
121,192.58339405059814,523.9037525653839,168.39752197265625,525.4122376441956
122,194.44659233093262,521.7115938663483,168.47595691680908,521.4728343486786
123,194.29834842681885,519.2027521133423,168.4797763824463,519.2347455024719
124,194.0454626083374,517.0101428031921,168.47830295562744,518.3123767375946
125,194.02098655700684,514.2862629890442,168.49209308624268,515.6967723369598
126,193.98034572601318,512.8859889507294,168.62814903259277,512.7547645568848
127,194.2067527770996,511.10047459602356,168.8415241241455,509.7620952129364
128,195.62323093414307,510.11202692985535,169.1443920135498,507.44141578674316
129,195.4070520401001,509.20230746269226,169.14462089538574,506.0374402999878
130,195.8196258544922,507.4152481555939,169.389066696167,503.9375603199005
131,194.67151165008545,505.63761949539185,169.46654319763184,502.70018219947815
132,194.6494960784912,504.294251203537,169.6772003173828,501.14464044570923
133,194.71192359924316,503.3736526966095,170.03727436065674,499.4853937625885
134,194.4746732711792,502.022784948349,170.3706693649292,497.8632581233978
135,194.7004795074463,500.80475091934204,170.65577030181885,496.93734884262085
136,194.24745082855225,498.85383009910583,170.83598613739014,496.103138923645
137,194.58669662475586,498.3288037776947,170.9435749053955,495.3487193584442
138,194.71006393432617,496.97664856910706,170.93605041503906,494.7495996952057
139,195.07588863372803,496.4099407196045,170.98779201507568,493.80669593811035
140,195.68615913391113,495.81056356430054,170.99916458129883,492.89868235588074
141,195.65661907196045,494.0766763687134,170.99586009979248,491.63446068763733
142,195.30605792999268,492.5812590122223,170.99414348602295,490.58637142181396
143,195.10497093200684,491.4579176902771,171.00468635559082,490.43538451194763
144,195.31996250152588,491.4470386505127,171.0371446609497,489.7137951850891
145,195.3649091720581,491.5008544921875,171.10018730163574,488.31068873405457
146,195.34006118774414,491.3309419155121,171.0984706878662,487.4428117275238
147,195.14345169067383,490.21645188331604,171.0132122039795,486.9538986682892
148,195.07733345031738,490.1510488986969,170.98846435546875,486.2003803253174
149,195.07646083831787,489.9300241470337,170.88852882385254,485.6535315513611
150,195.09796142578125,489.7008240222931,170.83621501922607,484.7883903980255
151,195.1962947845459,489.25867795944214,170.8542537689209,483.9604890346527
152,195.27143955230713,488.6783230304718,170.86277961730957,483.0069315433502
153,195.76509475708008,488.1520736217499,170.94836711883545,481.67885184288025
154,195.87522983551025,487.69222497940063,170.96679210662842,480.97461104393005
155,196.06611728668213,487.3880624771118,171.09163284301758,479.9991023540497
156,196.11083507537842,486.1928164958954,171.24074935913086,479.2350912094116
157,196.25783443450928,485.52539706230164,171.2793731689453,478.7082302570343
158,196.28525733947754,484.9184238910675,171.33934020996094,477.7268958091736
159,196.28899097442627,484.1215181350708,171.3832139968872,476.74617290496826
160,196.3941764831543,483.9747476577759,171.4684009552002,476.0965847969055
161,196.62733554840088,483.923442363739,171.5282964706421,475.57674050331116
162,196.71189308166504,483.76827120780945,171.53936862945557,475.1306998729706
163,196.92984580993652,483.77055644989014,171.61092281341553,474.47731375694275
164,197.2531270980835,483.7976896762848,171.66418075561523,474.23115134239197
165,197.74423599243164,483.6809170246124,171.84205055236816,473.9632308483124
166,197.93975830078125,483.59604120254517,172.05808639526367,473.72134923934937
167,198.22513103485107,483.5860311985016,172.3237180709839,473.35319995880127
168,198.51237773895264,483.44746828079224,172.60962009429932,473.1536114215851
